fichier,phrase_id_con,position_con,mot_con,onset,offset_con,POS,surprisal_bits,oov,phrase_id_dep,position_dep,mot_dep,offset_dep,relation,tete,tete_position,tete_onset,profondeur,dist_pos,dist_temps,est_tete,mot,offset,duree
audio01.TextGrid,1.0,1.0,he,0.76,0.88,PRP,2.5017,0.0,1,1,HE,0.88,,IN,9.0,2.77,2.0,8.0,2.01,False,he,0.88,0.12
audio01.TextGrid,1.0,2.0,was,0.88,1.04,VBD,3.0516,0.0,1,2,WAS,1.04,,IN,9.0,2.77,2.0,7.0,1.8900000000000001,False,was,1.04,0.16000000000000003
audio01.TextGrid,1.0,3.0,an,1.04,1.12,DT,4.6072,0.0,1,3,AN,1.12,,IN,9.0,2.77,2.0,6.0,1.73,False,an,1.12,0.08000000000000007
audio01.TextGrid,1.0,4.0,old,1.12,1.41,JJ,7.9253,0.0,1,4,OLD,1.41,,IN,9.0,2.77,2.0,5.0,1.65,False,old,1.41,0.2899999999999998
audio01.TextGrid,1.0,5.0,man,1.41,1.79,NN,10.0996,0.0,1,5,MAN,1.79,,IN,9.0,2.77,2.0,4.0,1.36,False,man,1.79,0.3800000000000001
audio01.TextGrid,1.0,6.0,who,1.87,2.08,WP,0.5292,0.0,1,6,WHO,2.08,,IN,9.0,2.77,2.0,3.0,0.8999999999999999,False,who,2.08,0.20999999999999996
audio01.TextGrid,1.0,7.0,fished,2.08,2.41,VBD,2.3092,1.0,1,7,FISHED,2.41,,IN,9.0,2.77,2.0,2.0,0.69,False,fished,2.41,0.33000000000000007
audio01.TextGrid,1.0,8.0,alone,2.41,2.77,RB,8.8775,0.0,1,8,ALONE,2.77,,IN,9.0,2.77,2.0,1.0,0.3599999999999999,False,alone,2.77,0.3599999999999999
audio01.TextGrid,1.0,9.0,in,2.77,2.88,IN,2.4946,0.0,1,9,IN,2.88,,IN,9.0,2.77,1.0,0.0,0.0,True,in,2.88,0.10999999999999988
audio01.TextGrid,1.0,10.0,a,2.88,2.95,DT,2.0447,0.0,1,10,A,2.95,,IN,9.0,2.77,2.0,1.0,0.10999999999999988,False,a,2.95,0.07000000000000028
audio01.TextGrid,1.0,11.0,skiff,2.95,3.41,NN,4.8869,1.0,1,11,SKIFF,3.41,,IN,9.0,2.77,2.0,2.0,0.18000000000000016,False,skiff,3.41,0.45999999999999996
audio01.TextGrid,1.0,12.0,in,3.41,3.49,IN,2.4946,0.0,1,12,IN,3.49,,IN,9.0,2.77,2.0,3.0,0.6400000000000001,True,in,3.49,0.08000000000000007
audio01.TextGrid,1.0,13.0,the,3.49,3.59,DT,0.7806,0.0,1,13,THE,3.59,,IN,9.0,2.77,2.0,4.0,0.7200000000000002,False,the,3.59,0.09999999999999964
audio01.TextGrid,1.0,14.0,gulf,3.59,3.9,NN,4.8869,1.0,1,14,GULF,3.9,,IN,9.0,2.77,2.0,5.0,0.8199999999999998,False,gulf,3.9,0.31000000000000005
audio01.TextGrid,1.0,15.0,stream,3.9,4.37,NN,13.6845,0.0,1,15,STREAM,4.37,,IN,9.0,2.77,2.0,6.0,1.13,False,stream,4.37,0.4700000000000002
audio01.TextGrid,2.0,1.0,and,4.5,4.65,CC,0.5482,0.0,1,16,AND,4.65,,IN,9.0,2.77,2.0,7.0,1.73,False,and,4.65,0.15000000000000036
audio01.TextGrid,2.0,2.0,he,4.65,4.71,PRP,2.5017,0.0,1,17,HE,4.71,,IN,9.0,2.77,2.0,8.0,1.8800000000000003,False,he,4.71,0.05999999999999961
audio01.TextGrid,2.0,3.0,had,4.71,4.82,VBD,4.2494,0.0,1,18,HAD,4.82,,IN,9.0,2.77,2.0,9.0,1.94,False,had,4.82,0.11000000000000032
