fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,1,1,HE,0.760,0.880,,IN
audio01.TextGrid,1,2,WAS,0.880,1.040,,IN
audio01.TextGrid,1,3,AN,1.040,1.120,,IN
audio01.TextGrid,1,4,OLD,1.120,1.410,,IN
audio01.TextGrid,1,5,MAN,1.410,1.790,,IN
audio01.TextGrid,1,6,WHO,1.870,2.080,,IN
audio01.TextGrid,1,7,FISHED,2.080,2.410,,IN
audio01.TextGrid,1,8,ALONE,2.410,2.770,,IN
audio01.TextGrid,1,9,IN,2.770,2.880,,IN
audio01.TextGrid,1,10,A,2.880,2.950,,IN
audio01.TextGrid,1,11,SKIFF,2.950,3.410,,IN
audio01.TextGrid,1,12,IN,3.410,3.490,,IN
audio01.TextGrid,1,13,THE,3.490,3.590,,IN
audio01.TextGrid,1,14,GULF,3.590,3.900,,IN
audio01.TextGrid,1,15,STREAM,3.900,4.370,,IN
audio01.TextGrid,1,16,AND,4.500,4.650,,IN
audio01.TextGrid,1,17,HE,4.650,4.710,,IN
audio01.TextGrid,1,18,HAD,4.710,4.820,,IN
audio01.TextGrid,1,19,GONE,4.820,5.080,,IN
audio01.TextGrid,1,20,EIGHTY,5.080,5.370,,IN
audio01.TextGrid,1,21,FOUR,5.370,5.590,,IN
audio01.TextGrid,1,22,DAYS,5.590,6.010,,IN
audio01.TextGrid,1,23,NOW,6.010,6.250,,IN
audio01.TextGrid,1,24,WITHOUT,6.250,6.550,,IN
audio01.TextGrid,1,25,TAKING,6.550,6.950,,IN
audio01.TextGrid,1,26,A,6.950,7.000,,IN
audio01.TextGrid,1,27,FISH,7.000,7.420,,IN
audio01.TextGrid,1,28,IN,7.420,7.480,,ROOT
audio01.TextGrid,2,1,THE,8.580,8.770,,HIM
audio01.TextGrid,2,2,FIRST,8.770,9.090,,HIM
audio01.TextGrid,2,3,FORTY,9.090,9.390,,HIM
audio01.TextGrid,2,4,DAYS,9.390,9.770,,HIM
audio01.TextGrid,2,5,A,9.770,9.820,,HIM
audio01.TextGrid,2,6,BOY,9.820,10.140,,HIM
audio01.TextGrid,2,7,HAD,10.140,10.310,,HIM
audio01.TextGrid,2,8,BEEN,10.310,10.450,,HIM
audio01.TextGrid,2,9,WITH,10.450,10.650,,HIM
audio01.TextGrid,2,10,HIM,10.650,10.900,,HIM
audio01.TextGrid,2,11,BUT,11.200,11.340,,HIM
audio01.TextGrid,2,12,AFTER,11.340,11.590,,HIM
audio01.TextGrid,2,13,FORTY,11.590,11.910,,HIM
audio01.TextGrid,2,14,DAYS,11.910,12.270,,HIM
audio01.TextGrid,2,15,WITHOUT,12.270,12.560,,HIM
audio01.TextGrid,2,16,A,12.560,12.600,,HIM
audio01.TextGrid,2,17,FISH,12.600,13.030,,HIM
audio01.TextGrid,2,18,THE,13.030,13.140,,HIM
audio01.TextGrid,2,19,BOY,13.140,13.360,,HIM
audio01.TextGrid,2,20,S,13.360,13.430,,HIM
audio01.TextGrid,2,21,PARENTS,13.430,13.860,,HIM
audio01.TextGrid,2,22,HAD,13.860,14.030,,HIM
audio01.TextGrid,2,23,TOLD,14.030,14.280,,HIM
audio01.TextGrid,2,24,HIM,14.280,14.460,,ROOT
audio01.TextGrid,2,25,THAT,14.460,14.590,,HIM
audio01.TextGrid,2,26,THE,14.590,14.720,,NOW
audio01.TextGrid,2,27,OLD,14.720,14.930,,NOW
audio01.TextGrid,2,28,MAN,14.930,15.160,,NOW
audio01.TextGrid,2,29,WAS,15.160,15.330,,NOW
audio01.TextGrid,2,30,NOW,15.330,15.510,,THAT
audio01.TextGrid,3,1,DEFINITELY,15.510,16.240,,SALAO
audio01.TextGrid,3,2,AND,16.240,16.390,,SALAO
audio01.TextGrid,3,3,FINALLY,16.390,16.900,,SALAO
audio01.TextGrid,3,4,SALAO,16.900,17.510,,ROOT
audio01.TextGrid,4,1,WHICH,17.890,18.080,,IS
audio01.TextGrid,4,2,IS,18.080,18.200,,ROOT
audio01.TextGrid,4,3,THE,18.200,18.290,,UNLUCKY
audio01.TextGrid,4,4,WORST,18.290,18.660,,UNLUCKY
audio01.TextGrid,4,5,FORM,18.660,18.970,,UNLUCKY
audio01.TextGrid,4,6,OF,18.970,19.080,,UNLUCKY
audio01.TextGrid,4,7,UNLUCKY,19.080,19.670,,IS
audio01.TextGrid,5,1,AND,20.430,20.510,,ROOT
audio01.TextGrid,5,2,THE,20.510,20.590,,WEEK
audio01.TextGrid,5,3,BOY,20.590,20.890,,WEEK
audio01.TextGrid,5,4,HAD,20.890,21.050,,WEEK
