fichier,phrase_id,position,mot,onset,offset,POS,surprise_incrementale,freq_zipf,n_phones
audio01.TextGrid,1,1,he,0.760,0.880,PRP,5.5326,6.69,2
audio01.TextGrid,1,2,was,0.880,1.040,VBD,5.6570,6.82,3
audio01.TextGrid,1,3,an,1.040,1.120,DT,7.7025,6.53,2
audio01.TextGrid,1,4,old,1.120,1.410,JJ,10.7540,5.75,3
audio01.TextGrid,1,5,man,1.410,1.790,NN,11.1338,5.82,3
audio01.TextGrid,1,6,who,1.870,2.080,WP,9.2605,6.34,2
audio01.TextGrid,1,7,fished,2.080,2.410,VBD,15.1637,3.08,4
audio01.TextGrid,1,8,alone,2.410,2.770,RB,12.4827,5.16,4
audio01.TextGrid,1,9,in,2.770,2.880,IN,6.8239,7.27,2
audio01.TextGrid,1,10,a,2.880,2.950,DT,4.0867,7.36,1
audio01.TextGrid,1,11,skiff,2.950,3.410,NN,6.0758,2.63,4
audio01.TextGrid,1,12,in,3.410,3.490,IN,5.3489,7.27,2
audio01.TextGrid,1,13,the,3.490,3.590,DT,2.5217,7.73,2
audio01.TextGrid,1,14,gulf,3.590,3.900,NN,11.7942,4.28,4
audio01.TextGrid,1,15,stream,3.900,4.370,NN,16.4458,4.62,5
audio01.TextGrid,1,16,and,4.500,4.650,CC,5.8626,7.41,3
audio01.TextGrid,1,17,he,4.650,4.710,PRP,8.3445,6.69,2
audio01.TextGrid,1,18,had,4.710,4.820,VBD,7.3053,6.33,3
audio01.TextGrid,1,19,gone,4.820,5.080,VBN,15.0643,5.17,3
audio01.TextGrid,1,20,eighty,5.080,5.370,RB,6.7264,3.75,3
audio01.TextGrid,1,21,four,5.370,5.590,CD,12.6728,5.53,3
audio01.TextGrid,1,22,days,5.590,6.010,NNS,9.9776,5.61,3
audio01.TextGrid,1,23,now,6.010,6.250,RB,9.5285,6.18,2
audio01.TextGrid,1,24,without,6.250,6.550,IN,10.9769,5.69,5
audio01.TextGrid,1,25,taking,6.550,6.950,VBG,15.1821,5.39,5
audio01.TextGrid,1,26,a,6.950,7.000,DT,6.7930,7.36,1
audio01.TextGrid,1,27,fish,7.000,7.420,NN,6.0004,4.9,3
audio01.TextGrid,3,1,and,20.430,20.510,CC,6.0239,7.41,2
audio01.TextGrid,3,2,the,20.510,20.590,DT,5.0150,7.73,2
audio01.TextGrid,3,3,boy,20.590,20.890,NN,14.8668,5.17,2
audio01.TextGrid,3,4,had,20.890,21.050,VBD,7.9825,6.33,3
audio01.TextGrid,3,5,gone,21.050,21.310,VBN,15.0702,5.17,3
audio01.TextGrid,3,6,at,21.310,21.380,IN,7.2783,6.7,2
audio01.TextGrid,3,7,their,21.380,21.570,PRP$,7.0484,6.33,3
audio01.TextGrid,3,8,orders,21.570,22.040,NNS,10.0395,4.73,5
audio01.TextGrid,3,9,in,22.040,22.150,IN,4.4292,7.27,2
audio01.TextGrid,3,10,another,22.150,22.470,DT,9.1580,5.74,5
audio01.TextGrid,3,11,boat,22.470,22.840,NN,6.0609,4.71,3
audio01.TextGrid,3,12,which,22.840,23.040,WDT,8.7579,6.3,3
audio01.TextGrid,3,13,caught,23.040,23.300,VBD,18.6137,4.9,3
audio01.TextGrid,3,14,three,23.300,23.650,CD,11.7143,5.78,3
audio01.TextGrid,3,15,good,23.650,24.010,JJ,11.6069,6.12,3
audio01.TextGrid,3,16,fish,24.010,24.330,VB,11.6461,4.9,3
audio01.TextGrid,3,17,the,24.330,24.450,DT,3.3040,7.73,2
audio01.TextGrid,3,18,first,24.450,24.870,JJ,9.0399,6.11,4
audio01.TextGrid,3,19,week,24.870,25.210,NN,9.1138,5.56,3
audio01.TextGrid,5,1,the,38.590,38.670,DT,3.2076,7.73,2
audio01.TextGrid,5,2,sail,38.670,39.060,NN,6.0633,4.01,3
audio01.TextGrid,5,3,was,39.060,39.300,VBD,6.2930,6.82,3
audio01.TextGrid,5,4,patched,39.300,39.740,VBN,9.4202,3.19,4
audio01.TextGrid,5,5,with,39.740,39.890,IN,7.3931,6.85,3
audio01.TextGrid,5,6,flour,39.930,40.260,JJ,7.6855,4.0,4
audio01.TextGrid,5,7,sacks,40.260,40.790,NNS,14.8164,3.59,4
audio01.TextGrid,5,8,and,40.790,41.030,CC,6.2721,7.41,3
audio01.TextGrid,5,9,furled,41.330,41.910,VBD,6.0611,1.74,4
audio01.TextGrid,5,10,it,41.910,42.130,PRP,7.6111,6.95,2
audio01.TextGrid,5,11,looked,42.130,42.370,VBD,14.9558,5.11,4
audio01.TextGrid,5,12,like,42.370,42.590,IN,10.5098,6.41,3
audio01.TextGrid,5,13,the,42.630,42.730,DT,2.6061,7.73,2
audio01.TextGrid,5,14,flag,42.780,43.180,NN,13.2742,4.58,4
audio01.TextGrid,5,15,of,43.180,43.280,IN,4.1525,7.4,2
audio01.TextGrid,5,16,permanent,43.340,43.790,JJ,15.1078,4.57,8
audio01.TextGrid,5,17,defeat,43.790,44.350,NN,15.4658,4.51,5
audio01.TextGrid,6,1,the,45.910,46.010,DT,3.2076,7.73,2
audio01.TextGrid,6,2,old,46.010,46.220,JJ,11.1903,5.75,3
audio01.TextGrid,6,3,man,46.220,46.460,NN,11.2279,5.82,3
audio01.TextGrid,6,4,was,46.460,46.690,VBD,6.5636,6.82,3
audio01.TextGrid,6,5,thin,46.710,47.000,JJ,14.2099,4.47,3
audio01.TextGrid,6,6,and,47.000,47.150,CC,5.8960,7.41,3
audio01.TextGrid,6,7,gaunt,47.150,47.650,NN,8.0932,2.9,4
audio01.TextGrid,6,8,with,47.650,47.800,IN,6.9850,6.85,3
audio01.TextGrid,6,9,deep,47.800,48.110,JJ,7.6529,5.05,3
audio01.TextGrid,6,10,wrinkles,48.110,48.570,NNS,7.9735,3.31,7
audio01.TextGrid,6,11,in,48.570,48.650,IN,4.6829,7.27,2
