fichier,phrase_id,position,mot,onset,offset,POS,surprise_llm,freq_zipf,n_phones
audio01.TextGrid,1,1,he,0.760,0.880,PRP,13.2074,6.69,2
audio01.TextGrid,1,2,was,0.880,1.040,VBD,4.9565,6.82,3
audio01.TextGrid,1,3,an,1.040,1.120,DT,7.5471,6.53,2
audio01.TextGrid,1,4,old,1.120,1.410,JJ,6.4913,5.75,3
audio01.TextGrid,1,5,man,1.410,1.790,NN,2.5968,5.82,3
audio01.TextGrid,1,6,who,1.870,2.080,WP,4.6415,6.34,2
audio01.TextGrid,1,7,fished,2.080,2.410,VBD,15.6346,3.08,4
audio01.TextGrid,1,8,alone,2.410,2.770,RB,12.1740,5.16,4
audio01.TextGrid,1,9,in,2.770,2.880,IN,4.7592,7.27,2
audio01.TextGrid,1,10,a,2.880,2.950,DT,3.2375,7.36,1
audio01.TextGrid,1,11,skiff,2.950,3.410,NN,24.5083,2.63,4
audio01.TextGrid,1,12,in,3.410,3.490,IN,6.1134,7.27,2
audio01.TextGrid,1,13,the,3.490,3.590,DT,2.3474,7.73,2
audio01.TextGrid,1,14,gulf,3.590,3.900,NN,11.5035,4.28,4
audio01.TextGrid,1,15,stream,3.900,4.370,NN,14.8237,4.62,5
audio01.TextGrid,1,16,and,4.500,4.650,CC,5.6323,7.41,3
audio01.TextGrid,1,17,he,4.650,4.710,PRP,4.7981,6.69,2
audio01.TextGrid,1,18,had,4.710,4.820,VBD,5.5311,6.33,3
audio01.TextGrid,1,19,gone,4.820,5.080,VBN,9.5654,5.17,3
audio01.TextGrid,1,20,eighty,5.080,5.370,RB,15.3234,3.75,3
audio01.TextGrid,1,21,four,5.370,5.590,CD,9.2898,5.53,3
audio01.TextGrid,1,22,days,5.590,6.010,NNS,4.5151,5.61,3
audio01.TextGrid,1,23,now,6.010,6.250,RB,9.4382,6.18,2
audio01.TextGrid,1,24,without,6.250,6.550,IN,9.2522,5.69,5
audio01.TextGrid,1,25,taking,6.550,6.950,VBG,8.7509,5.39,5
audio01.TextGrid,1,26,a,6.950,7.000,DT,1.9939,7.36,1
audio01.TextGrid,1,27,fish,7.000,7.420,NN,8.2776,4.9,3
audio01.TextGrid,2,1,in,7.420,7.480,IN,10.8415,7.27,2
audio01.TextGrid,2,2,the,8.580,8.770,DT,3.0877,7.73,2
audio01.TextGrid,2,3,first,8.770,9.090,JJ,7.6241,6.11,4
audio01.TextGrid,2,4,forty,9.090,9.390,NN,17.9164,4.2,5
audio01.TextGrid,2,5,days,9.390,9.770,NNS,4.9768,5.61,3
audio01.TextGrid,2,6,a,9.770,9.820,DT,6.0290,7.36,1
audio01.TextGrid,2,7,boy,9.820,10.140,NN,10.0878,5.17,2
audio01.TextGrid,2,8,had,10.140,10.310,VBD,7.1821,6.33,3
audio01.TextGrid,2,9,been,10.310,10.450,VBN,4.0108,6.27,3
audio01.TextGrid,2,10,with,10.450,10.650,IN,7.8262,6.85,3
audio01.TextGrid,2,11,him,10.650,10.900,PRP,4.4187,6.11,3
audio01.TextGrid,2,12,but,11.200,11.340,CC,8.9272,6.63,3
audio01.TextGrid,2,13,after,11.340,11.590,IN,8.1910,6.11,4
audio01.TextGrid,2,14,forty,11.590,11.910,JJ,11.3143,4.2,5
audio01.TextGrid,2,15,days,11.910,12.270,NNS,0.9048,5.61,3
audio01.TextGrid,2,16,without,12.270,12.560,IN,10.7410,5.69,5
audio01.TextGrid,2,17,a,12.560,12.600,DT,3.8790,7.36,1
audio01.TextGrid,2,18,fish,12.600,13.030,NN,12.1274,4.9,3
audio01.TextGrid,2,19,the,13.030,13.140,DT,6.6378,7.73,2
audio01.TextGrid,2,20,boy,13.140,13.360,NN,3.9874,5.17,2
audio01.TextGrid,2,21,s,13.360,13.430,NN,5.4797,5.86,1
audio01.TextGrid,2,22,parents,13.430,13.860,NNS,26.5255,5.21,7
audio01.TextGrid,2,23,had,13.860,14.030,VBD,5.5762,6.33,3
audio01.TextGrid,2,24,told,14.030,14.280,VBN,9.0691,5.54,4
audio01.TextGrid,2,25,him,14.280,14.460,PRP,0.7918,6.11,2
audio01.TextGrid,2,26,that,14.460,14.590,IN,3.0640,7.01,3
audio01.TextGrid,2,27,the,14.590,14.720,DT,4.2157,7.73,2
audio01.TextGrid,2,28,old,14.720,14.930,JJ,8.7304,5.75,3
audio01.TextGrid,2,29,man,14.930,15.160,NN,1.8268,5.82,3
audio01.TextGrid,2,30,was,15.160,15.330,VBD,1.7621,6.82,3
audio01.TextGrid,2,31,now,15.330,15.510,RB,9.8630,6.18,2
audio01.TextGrid,2,32,definitely,15.510,16.240,RB,14.1593,4.96,9
audio01.TextGrid,2,33,and,16.240,16.390,CC,9.8732,7.41,3
audio01.TextGrid,2,34,finally,16.390,16.900,RB,6.3572,5.17,6
audio01.TextGrid,2,35,salao,16.900,17.510,VB,34.1060,0.0,5
audio01.TextGrid,2,36,which,17.890,18.080,WDT,12.4530,6.3,3
audio01.TextGrid,2,37,is,18.080,18.200,VBZ,3.5722,7.07,2
audio01.TextGrid,2,38,the,18.200,18.290,DT,3.5718,7.73,2
audio01.TextGrid,2,39,worst,18.290,18.660,JJS,5.7112,4.93,4
audio01.TextGrid,2,40,form,18.660,18.970,NN,9.6624,5.31,4
audio01.TextGrid,2,41,of,18.970,19.080,IN,0.2629,7.4,2
audio01.TextGrid,2,42,unlucky,19.080,19.670,JJ,20.0184,3.63,6
audio01.TextGrid,3,1,and,20.430,20.510,CC,13.4350,7.41,2
audio01.TextGrid,3,2,the,20.510,20.590,DT,6.4323,7.73,2
audio01.TextGrid,3,3,boy,20.590,20.890,NN,9.0131,5.17,2
audio01.TextGrid,3,4,had,20.890,21.050,VBD,7.8431,6.33,3
audio01.TextGrid,3,5,gone,21.050,21.310,VBN,8.3950,5.17,3
audio01.TextGrid,3,6,at,21.310,21.380,IN,7.6731,6.7,2
audio01.TextGrid,3,7,their,21.380,21.570,PRP$,9.8287,6.33,3
audio01.TextGrid,3,8,orders,21.570,22.040,NNS,15.9246,4.73,5
audio01.TextGrid,3,9,in,22.040,22.150,IN,5.1078,7.27,2
audio01.TextGrid,3,10,another,22.150,22.470,DT,8.8846,5.74,5
audio01.TextGrid,3,11,boat,22.470,22.840,NN,19.8132,4.71,3
audio01.TextGrid,3,12,which,22.840,23.040,WDT,9.2785,6.3,3
audio01.TextGrid,3,13,caught,23.040,23.300,VBD,12.8087,4.9,3
audio01.TextGrid,3,14,three,23.300,23.650,CD,8.7487,5.78,3
audio01.TextGrid,3,15,good,23.650,24.010,JJ,10.1426,6.12,3
audio01.TextGrid,3,16,fish,24.010,24.330,VB,10.1535,4.9,3
audio01.TextGrid,3,17,the,24.330,24.450,DT,9.2591,7.73,2
audio01.TextGrid,3,18,first,24.450,24.870,JJ,4.9882,6.11,4
audio01.TextGrid,3,19,week,24.870,25.210,NN,7.7879,5.56,3
audio01.TextGrid,4,1,it,26.510,26.640,PRP,11.0007,6.95,2
audio01.TextGrid,4,2,made,26.640,26.830,VBD,12.3673,5.92,3
audio01.TextGrid,4,3,the,26.830,26.900,DT,4.7124,7.73,2
audio01.TextGrid,4,4,boy,26.900,27.130,JJ,10.2097,5.17,2
audio01.TextGrid,4,5,sad,27.130,27.560,NN,12.0571,4.84,3
audio01.TextGrid,4,6,to,27.560,27.650,TO,2.8566,7.43,2
audio01.TextGrid,4,7,see,27.650,27.820,VB,2.0758,6.1,2
audio01.TextGrid,4,8,the,27.820,27.960,DT,3.3663,7.73,2
audio01.TextGrid,4,9,old,27.960,28.170,JJ,9.0917,5.75,3
audio01.TextGrid,4,10,man,28.170,28.400,NN,3.1679,5.82,3
audio01.TextGrid,4,11,come,28.400,28.660,VBN,5.5298,5.78,3
audio01.TextGrid,4,12,in,28.660,28.780,IN,4.8242,7.27,2
audio01.TextGrid,4,13,each,28.780,29.040,DT,11.9237,5.69,2
audio01.TextGrid,4,14,day,29.040,29.270,NN,5.8064,5.95,2
audio01.TextGrid,4,15,with,29.270,29.470,IN,5.2332,6.85,3
audio01.TextGrid,4,16,his,29.470,29.660,PRP$,1.7487,6.51,3
